type,parent,competition_name,href,competition_type,country_id,country_name,country_code,total_clubs,total_players,average_age,foreigner_percentage,average_market_value,total_value,source_league,season_id,href_slug,competition_code,total_value_parsed
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",LaLiga,/laliga/startseite/wettbewerb/ES1,first_tier,157,Spain,ES1,20,520,27.5,43.8 %,,€5.63bn,2023-laliga,2023,laliga,laliga,5630000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Premier League,/premier-league/startseite/wettbewerb/GB1,first_tier,189,England,GB1,20,528,26.5,72.0 %,,€12.58bn,2023-premier-league,2023,premier-league,premier-league,12580000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Serie A,/serie-a/startseite/wettbewerb/IT1,first_tier,75,Italy,IT1,20,535,26.8,68.4 %,,€5.33bn,2023-serie-a,2023,serie-a,serie-a,5330000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Bundesliga,/bundesliga/startseite/wettbewerb/L1,first_tier,40,Germany,L1,18,517,26.0,59.0 %,"
",€5.02bn,2023-bundesliga,2023,bundesliga,bundesliga,5020000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Ligue 1,/ligue-1/startseite/wettbewerb/FR1,first_tier,50,France,FR1,18,479,25.7,62.4 %,,€4.38bn,2023-ligue-1,2023,ligue-1,ligue-1,4380000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Liga Portugal,/liga-portugal/startseite/wettbewerb/PO1,first_tier,136,Portugal,PO1,18,486,25.7,71.0 %,,€1.86bn,2023-liga-portugal,2023,liga-portugal,liga-portugal,1860000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Jupiler Pro League,/jupiler-pro-league/startseite/wettbewerb/BE1,first_tier,19,Belgium,BE1,16,452,24.6,62.4 %,,€1.05bn,2023-jupiler-pro-league,2023,jupiler-pro-league,jupiler-pro-league,1050000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Premier League,/premier-league/startseite/wettbewerb/GB1,first_tier,189,England,GB1,20,528,26.5,72.0 %,,€12.58bn,2024-premier-league,2024,premier-league,premier-league,12580000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",LaLiga,/laliga/startseite/wettbewerb/ES1,first_tier,157,Spain,ES1,20,520,27.5,43.8 %,,€5.63bn,2024-laliga,2024,laliga,laliga,5630000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Serie A,/serie-a/startseite/wettbewerb/IT1,first_tier,75,Italy,IT1,20,535,26.8,68.4 %,,€5.33bn,2024-serie-a,2024,serie-a,serie-a,5330000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Ligue 1,/ligue-1/startseite/wettbewerb/FR1,first_tier,50,France,FR1,18,479,25.7,62.4 %,,€4.38bn,2024-ligue-1,2024,ligue-1,ligue-1,4380000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Liga Portugal,/liga-portugal/startseite/wettbewerb/PO1,first_tier,136,Portugal,PO1,18,486,25.7,71.0 %,,€1.86bn,2024-liga-portugal,2024,liga-portugal,liga-portugal,1860000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Jupiler Pro League,/jupiler-pro-league/startseite/wettbewerb/BE1,first_tier,19,Belgium,BE1,16,452,24.6,62.4 %,,€1.05bn,2024-jupiler-pro-league,2024,jupiler-pro-league,jupiler-pro-league,1050000000.0
competition,"{'type': 'confederation', 'href': '/wettbewerbe/europa', 'seasoned_href': 'https://www.transfermarkt.co.uk/wettbewerbe/europa'}",Bundesliga,/bundesliga/startseite/wettbewerb/L1,first_tier,40,Germany,L1,18,517,26.0,59.0 %,"
",€5.02bn,2024-bundesliga,2024,bundesliga,bundesliga,5020000000.0
