buyer,theta_medio,n_transacoes,ivb_pct,rank
Nîmes Olympique,0.9742192572716081,8,1.0,1
KV Mechelen,0.09985821018094306,18,0.9947368421052631,2
Sunderland AFC,0.09267908565733052,14,0.9894736842105263,3
VfL Bochum,0.08333678947115547,6,0.9842105263157894,4
SSC Napoli,0.08177218439814293,52,0.9789473684210527,5
US Lecce,0.06185814149504181,37,0.9736842105263158,6
Málaga CF,0.051750654774172025,4,0.968421052631579,7
Norwich City,0.051590600729412045,9,0.9631578947368421,8
RC Strasbourg Alsace,0.048679203476110496,47,0.9578947368421052,9
Juventus FC,0.046387235009329134,53,0.9526315789473684,10
Club Brugge KV,0.044114289237441304,60,0.9473684210526315,11
Chievo Verona,0.037711391126950024,9,0.9421052631578948,12
Chelsea FC,0.037223996127946316,58,0.9368421052631579,13
Real Sociedad,0.03471559345605958,23,0.9315789473684211,14
1.FC Union Berlin,0.033529038745911614,40,0.9263157894736842,15
Real Madrid,0.03318225829414438,28,0.9210526315789473,16
AJ Auxerre,0.03316698997302048,8,0.9157894736842105,17
Hamburger SV,0.03171149857326971,11,0.9105263157894737,18
Luton Town,0.029216586993340316,8,0.9052631578947369,19
Real Betis Balompié,0.028709622306412323,45,0.9,20
UD Almería,0.028443681112062608,17,0.8947368421052632,21
Rayo Vallecano,0.027902329578432195,21,0.8894736842105263,22
Stoke City,0.02767013691461509,4,0.8842105263157894,23
Villarreal CF,0.027044330370146745,40,0.8789473684210526,24
Stade Reims,0.026320999369895903,33,0.8736842105263158,25
Angers SCO,0.025639726719665374,20,0.868421052631579,26
Spezia Calcio,0.025566207627195293,21,0.8631578947368421,27
AS Monaco,0.025308205069769756,53,0.8578947368421053,28
Le Havre AC,0.0250599192712863,3,0.8526315789473684,29
FC Lorient,0.025003300672676636,18,0.8473684210526315,30
Genoa CFC,0.02430109767230523,58,0.8421052631578947,31
FC Metz,0.022884513932140978,15,0.8368421052631579,32
Celta de Vigo,0.022821469722013005,32,0.8315789473684211,33
Cercle Brugge,0.022798324373594796,23,0.8263157894736842,34
Amiens SC,0.022602715797730242,12,0.8210526315789474,35
SC Braga,0.022231221116815154,42,0.8157894736842105,36
FC Augsburg,0.021946438104841287,40,0.8105263157894737,37
Bologna FC 1909,0.021784267086432347,60,0.8052631578947368,38
Sevilla FC,0.021704961874572912,43,0.8,39
Getafe CF,0.020943556597890864,40,0.7947368421052632,40
FC Barcelona,0.02040368245826881,32,0.7894736842105263,41
Atalanta BC,0.020252994276427416,54,0.7842105263157895,42
FCV Dender EH,0.01961027582743904,5,0.7789473684210526,43
Bayern Munich,0.019566373582779566,30,0.7736842105263158,44
AS Roma,0.019044316298201743,52,0.7684210526315789,45
EA Guingamp,0.018649430460099037,4,0.7631578947368421,46
Udinese Calcio,0.018604994232168617,62,0.7578947368421053,47
Como 1907,0.01839993810094073,32,0.7526315789473684,48
1.FC Heidenheim 1846,0.017814440124740566,8,0.7473684210526316,49
FC Porto,0.01779715908866541,52,0.7421052631578947,50
Leicester City,0.017419808907836353,28,0.7368421052631579,51
ACF Fiorentina,0.016848349229046072,61,0.7315789473684211,52
Portimonense SAD,0.016392160549273376,6,0.7263157894736842,53
FC St. Pauli,0.01638751580981498,9,0.7210526315789474,54
SM Caen,0.01616191246311506,12,0.7157894736842105,55
Athletic Bilbao,0.015899574905198225,10,0.7105263157894737,56
Venezia FC,0.015645094785932477,17,0.7052631578947368,57
FC Nantes,0.015620763445462345,34,0.7,58
Boavista FC,0.01531022511520155,10,0.6947368421052632,59
Frosinone Calcio,0.014966641839630479,18,0.6894736842105263,60
Clermont Foot 63,0.014932115343417495,5,0.6842105263157895,61
Paris Saint-Germain,0.014819288670584324,37,0.6789473684210526,62
Standard Liège,0.014066690252572426,38,0.6736842105263158,63
Eintracht Frankfurt,0.013903041804838754,63,0.6684210526315789,64
KVRS Waasland - SK Beveren,0.013686141693607958,5,0.6631578947368421,65
VfL Wolfsburg,0.01354335725543274,54,0.6578947368421053,66
Bayer 04 Leverkusen,0.013327073953896264,41,0.6526315789473685,67
US Cremonese,0.013237550825494316,22,0.6473684210526316,68
GD Chaves,0.01321861405778419,6,0.6421052631578947,69
OGC Nice,0.01276384442360169,44,0.6368421052631579,70
Olympique Lyon,0.012622439874748644,55,0.631578947368421,71
RB Leipzig,0.012609047427933043,52,0.6263157894736842,72
Sporting CP,0.012332698244339952,58,0.6210526315789474,73
RCD Espanyol Barcelona,0.012245543062371588,26,0.6157894736842106,74
Parma Calcio 1913,0.011425674282420153,33,0.6105263157894737,75
Levante UD,0.011398868933284559,21,0.6052631578947368,76
FC Toulouse,0.011387243361278504,34,0.6,77
Borussia Dortmund,0.011372972519487573,40,0.5947368421052631,78
Valencia CF,0.01111590405739514,34,0.5894736842105263,79
FC Crotone,0.010886230620499733,3,0.5842105263157895,80
SV Werder Bremen,0.010435754535067546,21,0.5789473684210527,81
Girona FC,0.010389343891823312,22,0.5736842105263158,82
Fortuna Düsseldorf,0.010290379962091983,6,0.5684210526315789,83
KV Kortrijk,0.01019551183393691,10,0.5631578947368421,84
SS Lazio,0.010114406431145414,49,0.5578947368421052,85
Hannover 96,0.010082580761365612,8,0.5526315789473685,86
AS Saint-Étienne,0.010063715108643937,19,0.5473684210526316,87
AC Milan,0.01005123135538255,58,0.5421052631578948,88
CD Santa Clara,0.009959383185891282,6,0.5368421052631579,89
Granada CF,0.009874258799980232,18,0.531578947368421,90
Sint-Truidense VV,0.00967064616447609,21,0.5263157894736842,91
FC Alverca,0.009369825340235206,3,0.5210526315789473,92
Real Oviedo,0.009138222640012463,3,0.5157894736842106,93
SL Benfica,0.00905969101488609,48,0.5105263157894737,94
ESTAC Troyes,0.008970180593016417,15,0.5052631578947369,95
Swansea City,0.008687692889492792,5,0.5,96
Moreirense FC,0.00799751236214479,8,0.49473684210526314,97
GD Estoril Praia,0.007721521580902613,8,0.48947368421052634,98
KAS Eupen,0.007565829027108114,8,0.4842105263157895,99
RSC Anderlecht,0.00752654099662815,52,0.4789473684210526,100
UC Sampdoria,0.0075237658859789195,29,0.47368421052631576,101
Rio Ave FC,0.007453390563724321,21,0.46842105263157896,102
FC Empoli,0.00728610016664017,22,0.4631578947368421,103
FC Famalicão,0.007279895555194737,20,0.45789473684210524,104
Pisa Sporting Club,0.007191822603743501,7,0.45263157894736844,105
