type,club,direction,player,player_href,age,nationality,position,market_value,origin_club,fee,source,source_league,fee_type,fee_raw,position_group,buyer,seller,premium_ratio,season_id,competition_code,net_transfer_record,squad_size,average_age,national_team_players,competition_name,country_name,league_total_market_value
transfer,Bayern Munich,In,Harry Kane,/harry-kane/profil/spieler/132098,30.0,England,Centre-Forward,90000000.0,Tottenham,95000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€95.00m,Attacker,Bayern Munich,Tottenham,0.05555555555555558,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Min-jae Kim,/min-jae-kim/profil/spieler/503482,26.0,"Korea, South",Centre-Back,60000000.0,Napoli,50000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€50.00m,Defender,Bayern Munich,Napoli,-0.16666666666666663,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Sacha Boey,/sacha-boey/profil/spieler/475413,23.0,France,Right-Back,22000000.0,Galatasaray,30000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€30.00m,Defender,Bayern Munich,Galatasaray,0.36363636363636354,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Daniel Peretz,/daniel-peretz/profil/spieler/468539,23.0,Israel,Goalkeeper,4000000.0,M. Tel Aviv,5000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€5.00m,Goalkeeper,Bayern Munich,M. Tel Aviv,0.25,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Bryan Zaragoza,/bryan-zaragoza/profil/spieler/713644,22.0,Spain,Left Winger,12000000.0,Granada CF,4000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_with_fee,Loan fee: €4.00m,Attacker,Bayern Munich,Granada CF,-0.6666666666666667,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Eric Dier,/eric-dier/profil/spieler/175722,29.0,England,Centre-Back,12000000.0,Tottenham,3500000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_with_fee,Loan fee: €3.50m,Defender,Bayern Munich,Tottenham,-0.7083333333333333,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Raphaël Guerreiro,/raphael-guerreiro/profil/spieler/170986,29.0,Portugal,Attacking Midfield,20000000.0,Dortmund,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Midfielder,Bayern Munich,Dortmund,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Konrad Laimer,/konrad-laimer/profil/spieler/223967,26.0,Austria,Right-Back,28000000.0,Leipzig,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Defender,Bayern Munich,Leipzig,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Frans Krätzig,/frans-kratzig/profil/spieler/604320,20.0,Germany,Left-Back,150000.0,FC Bayern II,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,unknown,-,Defender,Bayern Munich,FC Bayern II,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Aleksandar Pavlovic,/aleksandar-pavlovic/profil/spieler/792380,19.0,Germany,Defensive Midfield,200000.0,FC Bayern II,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,unknown,-,Midfielder,Bayern Munich,FC Bayern II,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
