player,buyer,seller,season_id,competition_code,country_name,premium_ratio,premium_ratio_w,hedonic_residual,pi_hedonic_pct,age,position_group,is_attacker,is_midfielder,is_defender,log_fee,log_mv,fee,market_value,revenue_sales,log_revenue,n_sales,max_sale,total_spend,n_buys,net_balance,net_transfer_record,squad_size,average_age,national_team_players,log_league_mv,in_degree,out_degree,pagerank,in_strength,out_strength,net_flow,season_id,season_2018,season_2019,season_2021,season_2022,season_2023,season_2024,season_2025
Harry Kane,Bayern Munich,Tottenham,2023,bundesliga,Germany,0.0555555555555555,0.0555555555555555,0.9553549608198892,159.95932166637067,30.0,Attacker,1,0,0,18.36938746009113,18.31532023940565,95000000.0,90000000.0,173920000.0,18.974105987086944,7,45000000.0,180000000.0,4,-6080000.0,12900000.0,25,27.0,16,22.336695770849254,4,4,0.00463032941721767,180000000.0,143300000.0,-36700000.0,2023,0,0,0,0,1,0,0
Min-jae Kim,Bayern Munich,Napoli,2023,bundesliga,Germany,-0.1666666666666666,-0.1666666666666666,0.37252263966757937,45.13913508915226,26.0,Defender,0,0,1,17.72753358339242,17.909855136853043,50000000.0,60000000.0,173920000.0,18.974105987086944,7,45000000.0,180000000.0,4,-6080000.0,12900000.0,25,27.0,16,22.336695770849254,4,4,0.00463032941721767,180000000.0,143300000.0,-36700000.0,2023,0,0,0,0,1,0,0
Sacha Boey,Bayern Munich,Galatasaray,2023,bundesliga,Germany,0.3636363636363635,0.3636363636363635,0.4547148924977762,57.57240984716463,23.0,Defender,0,0,1,17.216707972959764,16.906553056777135,30000000.0,22000000.0,173920000.0,18.974105987086944,7,45000000.0,180000000.0,4,-6080000.0,12900000.0,25,27.0,16,22.336695770849254,4,4,0.00463032941721767,180000000.0,143300000.0,-36700000.0,2023,0,0,0,0,1,0,0
Daniel Peretz,Bayern Munich,M. Tel Aviv,2023,bundesliga,Germany,0.25,0.25,-0.02519194562670002,-2.487728133005551,23.0,Goalkeeper,0,0,0,15.424948670398354,15.201805169084134,5000000.0,4000000.0,173920000.0,18.974105987086944,7,45000000.0,180000000.0,4,-6080000.0,12900000.0,25,27.0,16,22.336695770849254,4,4,0.00463032941721767,180000000.0,143300000.0,-36700000.0,2023,0,0,0,0,1,0,0
Felix Nmecha,Borussia Dortmund,Wolfsburg,2023,bundesliga,Germany,1.0,1.0,0.7524444978462128,112.21814282738114,22.0,Midfielder,0,1,0,17.216707972959764,16.52356082573315,30000000.0,15000000.0,136000000.0,18.72816545105327,3,127000000.0,66250000.0,3,69750000.0,-23200000.0,26,26.4,13,22.336695770849254,3,0,0.003113441223217683,66250000.0,0.0,-66250000.0,2023,0,0,0,0,1,0,0
Marcel Sabitzer,Borussia Dortmund,Bayern Munich,2023,bundesliga,Germany,-0.05,-0.05,0.6393013824623672,89.51565164869358,29.0,Midfielder,0,1,0,16.759949589762293,16.811242881518265,19000000.0,20000000.0,136000000.0,18.72816545105327,3,127000000.0,66250000.0,3,69750000.0,-23200000.0,26,26.4,13,22.336695770849254,3,0,0.003113441223217683,66250000.0,0.0,-66250000.0,2023,0,0,0,0,1,0,0
Niclas Füllkrug,Borussia Dortmund,Werder Bremen,2023,bundesliga,Germany,0.3269230769230768,0.3269230769230768,0.8769328043350715,140.35165297590626,30.0,Attacker,1,0,0,16.663322759412655,16.380459992348886,17250000.0,13000000.0,136000000.0,18.72816545105327,3,127000000.0,66250000.0,3,69750000.0,-23200000.0,26,26.4,13,22.336695770849254,3,0,0.003113441223217683,66250000.0,0.0,-66250000.0,2023,0,0,0,0,1,0,0
Loïs Openda,RB Leipzig,Lens,2023,bundesliga,Germany,0.1428571428571428,0.1428571428571428,0.29923814969162166,34.88308206303166,23.0,Attacker,1,0,0,17.50439003707821,17.370858648025116,40000000.0,35000000.0,242200000.0,19.305274393212084,8,90000000.0,187150000.0,8,55050000.0,38050000.0,30,23.7,12,22.336695770849254,7,0,0.005049750217343689,187150000.0,0.0,-187150000.0,2023,0,0,0,0,1,0,0
Benjamin Sesko,RB Leipzig,Salzburg,2023,bundesliga,Germany,0.3187500000000001,0.3187500000000001,0.13150457213664524,14.054312749408403,20.0,Attacker,1,0,0,17.270248738150034,16.993564429978885,31650000.0,24000000.0,242200000.0,19.305274393212084,8,90000000.0,187150000.0,8,55050000.0,38050000.0,30,23.7,12,22.336695770849254,7,0,0.005049750217343689,187150000.0,0.0,-187150000.0,2023,0,0,0,0,1,0,0
Castello Lukeba,RB Leipzig,Lyon,2023,bundesliga,Germany,0.1999999999999999,0.1999999999999999,0.0961993423426506,10.09785174624167,20.0,Defender,0,0,1,17.216707972959764,17.034386422832473,30000000.0,25000000.0,242200000.0,19.305274393212084,8,90000000.0,187150000.0,8,55050000.0,38050000.0,30,23.7,12,22.336695770849254,7,0,0.005049750217343689,187150000.0,0.0,-187150000.0,2023,0,0,0,0,1,0,0
Christoph Baumgartner,RB Leipzig,Hoffenheim,2023,bundesliga,Germany,0.0625,0.0625,0.2782091546515062,32.076242853804324,23.0,Midfielder,0,1,0,17.05418904934434,16.993564429978885,25500000.0,24000000.0,242200000.0,19.305274393212084,8,90000000.0,187150000.0,8,55050000.0,38050000.0,30,23.7,12,22.336695770849254,7,0,0.005049750217343689,187150000.0,0.0,-187150000.0,2023,0,0,0,0,1,0,0
Eljif Elmas,RB Leipzig,Napoli,2023,bundesliga,Germany,0.0,0.0,0.3012444036626576,35.15396422060437,24.0,Midfielder,0,1,0,16.993564429978885,16.993564429978885,24000000.0,24000000.0,242200000.0,19.305274393212084,8,90000000.0,187150000.0,8,55050000.0,38050000.0,30,23.7,12,22.336695770849254,7,0,0.005049750217343689,187150000.0,0.0,-187150000.0,2023,0,0,0,0,1,0,0
Nicolas Seiwald,RB Leipzig,Salzburg,2023,bundesliga,Germany,0.0,0.0,0.10497559558208636,11.068351058725945,22.0,Midfielder,0,1,0,16.811242881518265,16.811242881518265,20000000.0,20000000.0,242200000.0,19.305274393212084,8,90000000.0,187150000.0,8,55050000.0,38050000.0,30,23.7,12,22.336695770849254,7,0,0.005049750217343689,187150000.0,0.0,-187150000.0,2023,0,0,0,0,1,0,0
El Chadaille Bitshiabu,RB Leipzig,PSG,2023,bundesliga,Germany,1.1428571428571428,1.1428571428571428,0.30657616761178375,35.87649899161749,18.0,Defender,0,0,1,16.52356082573315,15.76142084987672,15000000.0,7000000.0,242200000.0,19.305274393212084,8,90000000.0,187150000.0,8,55050000.0,38050000.0,30,23.7,12,22.336695770849254,7,0,0.005049750217343689,187150000.0,0.0,-187150000.0,2023,0,0,0,0,1,0,0
Christopher Lenz,RB Leipzig,Frankfurt,2023,bundesliga,Germany,-0.6,-0.6,-0.6395296355823898,-47.24597472654668,28.0,Midfielder,0,1,0,13.815511557963774,14.731801689838349,1000000.0,2500000.0,242200000.0,19.305274393212084,8,90000000.0,187150000.0,8,55050000.0,38050000.0,30,23.7,12,22.336695770849254,7,0,0.005049750217343689,187150000.0,0.0,-187150000.0,2023,0,0,0,0,1,0,0
Robin Gosens,1.FC Union Berlin,Inter,2023,bundesliga,Germany,-0.1333333333333333,-0.1333333333333333,0.44260672939768675,55.67600526754579,29.0,Defender,0,0,1,16.380459992348886,16.52356082573315,13000000.0,15000000.0,6900000.0,15.747032114495013,5,3000000.0,38250000.0,8,-31350000.0,300000.0,26,27.1,8,22.336695770849254,8,0,0.004925448025935305,38250000.0,0.0,-38250000.0,2023,0,0,0,0,1,0,0
Diogo Leite,1.FC Union Berlin,Porto,2023,bundesliga,Germany,-0.5333333333333333,-0.5333333333333333,-0.59473175495752,-44.82894956948172,24.0,Defender,0,0,1,15.76142084987672,16.52356082573315,7000000.0,15000000.0,6900000.0,15.747032114495013,5,3000000.0,38250000.0,8,-31350000.0,300000.0,26,27.1,8,22.336695770849254,8,0,0.004925448025935305,38250000.0,0.0,-38250000.0,2023,0,0,0,0,1,0,0
Yorbe Vertessen,1.FC Union Berlin,PSV,2023,bundesliga,Germany,0.1875,0.1875,-0.006845997886285815,-0.6822618853912665,23.0,Attacker,1,0,0,15.373655386537118,15.201805169084134,4750000.0,4000000.0,6900000.0,15.747032114495013,5,3000000.0,38250000.0,8,-31350000.0,300000.0,26,27.1,8,22.336695770849254,8,0,0.004925448025935305,38250000.0,0.0,-38250000.0,2023,0,0,0,0,1,0,0
Kevin Volland,1.FC Union Berlin,Monaco,2023,bundesliga,Germany,-0.5,-0.5,0.01927844416436919,1.94654782738235,31.0,Midfielder,0,1,0,15.201805169084134,15.894952224644102,4000000.0,8000000.0,6900000.0,15.747032114495013,5,3000000.0,38250000.0,8,-31350000.0,300000.0,26,27.1,8,22.336695770849254,8,0,0.004925448025935305,38250000.0,0.0,-38250000.0,2023,0,0,0,0,1,0,0
Lucas Tousart,1.FC Union Berlin,Hertha BSC,2023,bundesliga,Germany,-0.6888888888888889,-0.6888888888888889,-0.8547771319974604,-57.46221036366577,26.0,Midfielder,0,1,0,14.845130332288226,16.012735246411598,2800000.0,9000000.0,6900000.0,15.747032114495013,5,3000000.0,38250000.0,8,-31350000.0,300000.0,26,27.1,8,22.336695770849254,8,0,0.004925448025935305,38250000.0,0.0,-38250000.0,2023,0,0,0,0,1,0,0
Mikkel Kaufmann,1.FC Union Berlin,Copenhagen,2023,bundesliga,Germany,0.0,0.0,-0.324763487170566,-27.730181338334447,22.0,Attacker,1,0,0,14.80876270134486,14.80876270134486,2700000.0,2700000.0,6900000.0,15.747032114495013,5,3000000.0,38250000.0,8,-31350000.0,300000.0,26,27.1,8,22.336695770849254,8,0,0.004925448025935305,38250000.0,0.0,-38250000.0,2023,0,0,0,0,1,0,0
Benedict Hollerbach,1.FC Union Berlin,Wehen Wiesbaden,2023,bundesliga,Germany,0.6666666666666667,0.6666666666666667,0.057302128574232114,5.89757401158244,22.0,Attacker,1,0,0,14.508658238524095,13.997832948091215,2000000.0,1200000.0,6900000.0,15.747032114495013,5,3000000.0,38250000.0,8,-31350000.0,300000.0,26,27.1,8,22.336695770849254,8,0,0.004925448025935305,38250000.0,0.0,-38250000.0,2023,0,0,0,0,1,0,0
Chris Bedia,1.FC Union Berlin,Servette FC,2023,bundesliga,Germany,-0.3333333333333333,-0.3333333333333333,-0.2951999176515461,-25.561733780169995,27.0,Attacker,1,0,0,14.508658238524095,14.914123179965662,2000000.0,3000000.0,6900000.0,15.747032114495013,5,3000000.0,38250000.0,8,-31350000.0,300000.0,26,27.1,8,22.336695770849254,8,0,0.004925448025935305,38250000.0,0.0,-38250000.0,2023,0,0,0,0,1,0,0
Junior Adamu,SC Freiburg,Salzburg,2023,bundesliga,Germany,-0.25,-0.25,-0.4399800126409854,-35.59507444093446,22.0,Attacker,1,0,0,15.607270193858982,15.894952224644102,6000000.0,8000000.0,42800000.0,17.57204868391651,5,25000000.0,8500000.0,3,34300000.0,-1150000.0,25,28.1,5,22.336695770849254,3,0,0.0017567671543586548,8500000.0,0.0,-8500000.0,2023,0,0,0,0,1,0,0
Florian Müller,SC Freiburg,Stuttgart,2023,bundesliga,Germany,0.0,0.0,-0.23675201334564733,-21.08131393240218,25.0,Goalkeeper,0,0,0,14.220976332738882,14.220976332738882,1500000.0,1500000.0,42800000.0,17.57204868391651,5,25000000.0,8500000.0,3,34300000.0,-1150000.0,25,28.1,5,22.336695770849254,3,0,0.0017567671543586548,8500000.0,0.0,-8500000.0,2023,0,0,0,0,1,0,0
Florent Muslija,SC Freiburg,SC Paderborn,2023,bundesliga,Germany,-0.6,-0.6,-1.0022939069029473,-63.296370518589896,25.0,Attacker,1,0,0,13.815511557963774,14.731801689838349,1000000.0,2500000.0,42800000.0,17.57204868391651,5,25000000.0,8500000.0,3,34300000.0,-1150000.0,25,28.1,5,22.336695770849254,3,0,0.0017567671543586548,8500000.0,0.0,-8500000.0,2023,0,0,0,0,1,0,0
Nathan Tella,Bayer 04 Leverkusen,Southampton,2023,bundesliga,Germany,0.2944444444444445,0.2944444444444445,0.4018630821067717,49.46067119953512,24.0,Attacker,1,0,0,16.963963961454382,16.705882371415992,23300000.0,18000000.0,68500000.0,18.042344317830995,4,55000000.0,82900000.0,6,-14400000.0,31800000.0,27,26.6,14,22.336695770849254,6,0,0.003966673394187057,82900000.0,0.0,-82900000.0,2023,0,0,0,0,1,0,0
Victor Boniface,Bayer 04 Leverkusen,Union SG,2023,bundesliga,Germany,0.8833333333333333,0.8833333333333333,0.5451251030317081,72.4824204928195,22.0,Attacker,1,0,0,16.933460508490302,16.300417291085605,22600000.0,12000000.0,68500000.0,18.042344317830995,4,55000000.0,82900000.0,6,-14400000.0,31800000.0,27,26.6,14,22.336695770849254,6,0,0.003966673394187057,82900000.0,0.0,-82900000.0,2023,0,0,0,0,1,0,0
